2025-09-04T01:16:07.000000000Z [inf]  Starting Container
2025-09-04T01:16:08.526238488Z [err]  time="2025-09-04T01:16:07Z" level=info msg="initialization started" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/init.go:70"
2025-09-04T01:16:08.526242524Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify user" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_user.go:40" username=postgres
2025-09-04T01:16:08.526247662Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify database" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_database.go:40" database=railway
2025-09-04T01:16:08.526251915Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify grant" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_grant.go:35" database=railway user=postgres
2025-09-04T01:16:08.526255675Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify zitadel" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:80" database=railway
2025-09-04T01:16:08.526259720Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify system" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:46"
2025-09-04T01:16:08.526263550Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify encryption keys" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:51"
2025-09-04T01:16:08.526267612Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify projections" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:56"
2025-09-04T01:16:08.526272010Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify eventstore" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:61"
2025-09-04T01:16:08.526276484Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify events tables" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:66"
2025-09-04T01:16:08.526282174Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify unique constraints" caller="/home/runner/work/zitadel/zitadel/cmd/initialise/verify_zitadel.go:71"
2025-09-04T01:16:08.526285910Z [err]  time="2025-09-04T01:16:07Z" level=info msg="setup started" caller="/home/runner/work/zitadel/zitadel/cmd/setup/setup.go:108"
2025-09-04T01:16:08.526291203Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=14_events_push
2025-09-04T01:16:08.526296264Z [err]  time="2025-09-04T01:16:07Z" level=info msg="starting migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:69" name=14_events_push
2025-09-04T01:16:08.526301727Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=40_init_push_func_v4
2025-09-04T01:16:08.526675657Z [err]  time="2025-09-04T01:16:07Z" level=info msg="starting migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:69" name=40_init_push_func_v4
2025-09-04T01:16:08.526683957Z [err]  time="2025-09-04T01:16:07Z" level=info msg="execute statement" caller="/home/runner/work/zitadel/zitadel/cmd/setup/40.go:51" file=01_type.sql migration=40_init_push_func_v4
2025-09-04T01:16:08.526688237Z [err]  time="2025-09-04T01:16:07Z" level=info msg="execute statement" caller="/home/runner/work/zitadel/zitadel/cmd/setup/40.go:51" file=02_func.sql migration=40_init_push_func_v4
2025-09-04T01:16:08.526692416Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=01_tables
2025-09-04T01:16:08.526696820Z [err]  time="2025-09-04T01:16:07Z" level=info msg="starting migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:69" name=01_tables
2025-09-04T01:16:08.526700691Z [err]  time="2025-09-04T01:16:07Z" level=info msg="verify migration" caller="/home/runner/work/zitadel/zitadel/internal/migration/migration.go:46" name=02_assets
